Editor ID;Form ID;Count;Users;Name;Script;Water Type;Model;Size;Quest Object
Projector01;000286DD;8;0;;;;Clutter\Projector\Projector01.NIF;49;No
TrapTripwire01;000290EE;117;2;Tripwire;TrapGenericTripwireSCRIPT;;Traps\Tripwire01.NIF;152;No
HamRadio01;0002942E;170;0;Ham Radio;;;Clutter\HamRadio\hamradio.NIF;40;No
trapShotgun;00029438;41;2;Rigged Shotgun;TrapShotgunSCRIPT;;Traps\ShotgunTrap.NIF;47;No
LightCeilingVault01;000296D7;418;0;;;;Dungeons\Vault\Lights\LightCeilingVault01.NIF;0;No
LightCeilingVault02;000296DF;159;0;;;;Dungeons\Vault\Lights\LightCeilingVault02.NIF;0;No
TrapComputerBack;0002989E;17;1;Rear Panel;TrapComputerSCRIPT;;Traps\TerminalDeskTrap01.NIF;299;No
DrinkSink02Good;0002A2AF;71;0;Sink;;d2GoodWater4r30h;Clutter\Bathroom\Sink01.NIF;52;No
DrinkToilet02Good;0002A2B0;66;0;Toilet;;d2GoodWater4r30h;Clutter\Bathroom\Toilet01.NIF;60;No
DrinkUrinal01Avg;0002A2B1;12;0;Urinal;;d3AverageWater6r24h;Clutter\Office\Urinal01.NIF;43;No
DrinkWaterFoutnain00Rads;0002A2B2;3;0;Water Fountain;;d5TerribleWater20r4h;Clutter\Office\WaterCooler01.NIF;53;No
TrapComputer;0002A9F9;16;1;Terminal;TrapComputerFaceSCRIPT;;Traps\TerminalDeskTrapBase01.NIF;34;No
trapMineBuried01;0002C2B5;23;2;Concealed Mine;trapMineBuriedSCRIPT;;Traps\TrapBuriedMine01.NIF;21;No
VLight03;0002C7CE;24;0;;;;Dungeons\Vault\Lights\VLight03.NIF;41;No
TrigPlayerDisable;0002CC2B;77;0;;TrigPlayerDisableSCRIPT;;;557;No
VControlPanel01;0002D1AF;26;0;;;;Dungeons\Vault\Accessories\VControlPanel01.NIF;41;No
JukeBoxDirty01;0002D671;5;0;Jukebox;;;Clutter\JukeBox\JukeBoxDirty01.NIF;0;No
TrapBabyCarriage;0002E91C;16;2;Baby Carriage;TrapBabyCarriageSCRIPT;;Traps\BabyCarriageBomb.NIF;67;No
ElectricalSwitch;00030FBD;29;0;Electrical Switch;;;Clutter\GenElecSwitch01.NIF;18;No
FFETriggerA;00032D25;229;2;;FFETriggerScript;;;1518;No
FFETriggerB;00033263;86;2;;FFETriggerScript;;;1571;No
TrapGasFire01;000348D1;601;4;;TrapGasSCRIPT;;Traps\TrapGasFire01.NIF;255;No
AbandonedSewerValve01;00034A90;4;0;Gas Valve;;;Architecture\Wasteland\WaterTowerPipes01.NIF;157;No
RCLightBox01;000354E8;839;0;;;;Dungeons\Rivetcity\Lights\RCLightBox01.NIF;48;No
RCLightRounded01;000354E9;213;0;;;;Dungeons\Rivetcity\Lights\RCLightRounded01.NIF;25;No
DrinkUrinal00Rads;0003956A;193;0;Urinal;;d5TerribleWater20r4h;Clutter\Office\Urinal01.NIF;43;No
TrapPressurePlate;00047A7F;30;2;Pressure Plate;TrapGenericPressurePlateSCRIPT;;Traps\PressurePlate.NIF;31;No
TrapGasValve;00047A97;1;0;Gas Valve;TrapGenericGasValveSCRIPT;;Architecture\Wasteland\WaterTowerPipes01.NIF;199;No
FXComputerSparks;000483E2;0;1;;FXComputerSparksScript;;Effects\TrapComputerSparksFX.NIF;35;No
VGearDoorControlPanel;0004EC79;13;0;Vault Door Control Pod;GenericControlPodScript;;Dungeons\Vault\Accessories\ControlPanelVault01.NIF;68;No
FFEU08FallingObject;00053348;1;0;;FFEU08FallingObjectSCRIPT;;Vehicles\UFOCrash.NIF;1040;No
TrapPitchingMachine01;00053EF3;15;2;Pitching Machine;TRAPPitchingMachineScript;;Traps\PitchingMachine01.NIF;73;No
FFEU08SmokeTrail;00056883;0;1;;FFEU08SmokeTrailScript;;Effects\FXArtilleryStrike01.NIF;58;No
TrapMailboxBomb01;00057F6B;5;2;Mailbox;TrapMailboxSCRIPT;;Traps\TrapMailboxBomb01.NIF;153;No
Mainframe01OFF;00058B9B;6;0;;;;Clutter\Consoles\Mainframe01OFF.NIF;207;No
TrapBrahminCorpse01;0005AA59;6;2;;TrapMaceSCRIPT;;Traps\brahmincorpsetrap1.NIF;160;No
TrapBrahminCorpse02;0005AA5B;5;2;;TrapMaceSCRIPT;;Traps\brahmincorpsetrap2.NIF;159;No
GenericVertibirdEncounter;0005AE48;0;2;;GenericVertibirdEncounterSCRIPT;;Vehicles\VertibirdEncount01.NIF;11701;No
TrapSwingingLog01;0005DC1A;4;2;;TrapMaceSCRIPT;;Traps\TrapSwingingLog01.NIF;191;No
TrapSwingingIBeam01;0005F6D9;10;2;;TrapMaceSCRIPT;;Traps\TrapSwingingIBeam01.NIF;190;No
KlaxonLight;000685E8;24;0;;KlaxonLightScript;;Dungeons\Vault\RoomU\Klaxon.NIF;77;No
TrapSwingingEngine01;00068DDC;5;2;;TrapMaceSCRIPT;;Traps\TrapSwingingEngine01.NIF;162;No
TrapSwingingIBeam02;00068DDF;6;2;;TrapMaceSCRIPT;;Traps\TrapSwingingIBeam02.NIF;176;No
GenericConsolPanelOnOff05;00069BEA;3;0;;;;Clutter\Consoles\GenericConsolPanelOnOff05.NIF;38;No
GenericConsolPanelOnOff04;00069BEB;6;0;;;;Clutter\Consoles\GenericConsolPanelOnOff04.NIF;61;No
GenericConsolPanelOnOff03;00069BEC;15;0;;;;Clutter\Consoles\GenericConsolPanelOnOff03.NIF;61;No
GenericConsolPanelOnOff01;00069BF1;3;0;;;;Clutter\Consoles\GenericConsolPanelOnOff01.NIF;162;No
GenericConsolStackOnOff02;00069BF2;18;0;;;;Clutter\Consoles\GenericConsolStackOnOff02.NIF;107;No
GenericConsolStackOnOff01;00069BF3;17;0;;;;Clutter\Consoles\GenericConsolStackOnOff01.NIF;107;No
GenericConsolPanelOnOff06;00069BF6;3;0;;;;Clutter\Consoles\GenericConsolPanelOnOff06.NIF;38;No
MainframeONOFF;00069BF7;3;0;;;;Clutter\Consoles\MainframeONOFF.nif;324;No
VertibirdEncount01;0006EE07;21;1;;;;vehicles\vertibirdencount01.nif;11708;No
TrapGrenadeDuctwork;0006F566;11;0;;TrapGrenadeDuctSCRIPT;;Architecture\Urban\DuctKit\DuctworkGrenadeTrap01.NIF;329;No
Vault101Loudspeaker;0007161C;1;0;Loudspeaker;;;Dungeons\Vault\Accessories\VControlPanel02.NIF;37;No
WorkBench;00075005;129;0;Workbench;CraftingWorkbenchRecipesScript;;Furniture\WorkBench.NIF;80;No
VintageRadioGNR01STARTON;000770C5;38;0;Radio;VintageRadioStartOnSCRIPT;;Clutter\VintageRadio\VintageRadio01.NIF;30;No
Console02;00077F3C;24;0;;;;Clutter\Consoles\Console02.NIF;122;No
FFER71VertibirdEncounter;00079FF3;0;2;;FFER71VertibirdEncounterSCRIPT;;Vehicles\VertibirdEncount01.NIF;11701;No
FFER62VertibirdEncounter;0007C2DE;0;2;;FFER62VertibirdEncounterSCRIPT;;Vehicles\VertibirdEncount01.NIF;11701;No
PPLight01;0007CBF1;26;0;;;;Architecture\Urban\JeffersonMemorial\PPLight01.NIF;54;No
PPLight02;0007CBF7;27;0;;;;Architecture\Urban\JeffersonMemorial\PPLight02.NIF;54;No
HD00LabSet;0007DD4F;3;0;My First Laboratory;HD00LabScript;;Clutter\Lab\ChemistryExperiment01.NIF;50;No
HD00InfirmSet;0007DD51;2;0;My First Infirmary;HD00InfirmaryScript;;Clutter\Hospital\SurgicalCart01.NIF;46;No
REPCONHarlandTriggerREF;00080774;1;0;HarlandTrigger;REPCONHarlandTriggerScript;;;393;No
REPCONBasementExitTrigger;0008077D;1;0;;REPCONBasementExitSCRIPT;;;171;No
FusionGenerator01;00081932;29;0;;;;Clutter\FusionGenerator\FusionGenerator01.NIF;53;No
DrinkToiletMetal00Rads;000834D8;56;0;Toilet;;d5TerribleWater20r4h;Clutter\Bathroom\ToiletMetalR01.NIF;0;No
FFHamRadio01;000842B9;1;1;Radio Signal Kilo Bravo;FFRadioSignalSCRIPT;;Clutter\HamRadio\hamradio.NIF;40;No
RSCharlieQuestTrigger;000842DF;2;0;Ranger Station Charlie Quest Trigger;RSCharlieQuestScript;;Architecture\Wasteland\WaterTowerPipes01.NIF;384;No
MainframeSmall01;00086815;130;0;;;;Clutter\Consoles\MainframeSmall01.NIF;147;No
MQ11DummyArtilleryObject;00088AE9;1;0;;;;;850;No
VRmOverseerDesk01;0008AA2E;3;0;;;;Dungeons\Vault\Room\VRmOverseerDesk01.NIF;245;No
nvRepconLaunchButton;0008CD98;1;0;Launch Button;RepconLaunchSCRIPT;;dungeons\vault\accessories\controlpanelvault01.nif;68;Yes
QJGenerator;0008D36F;1;0;Generator;QJGeneratorScript;;Clutter\FusionGenerator\FusionGenerator01.NIF;53;No
GhoulExitTrigger;0008D411;1;0;Ghoul Exit Trigger;GhoulExitTriggerSCRIPT;;;111;No
REPCONSpeechListeningTrigger;0008D414;1;0;REPCON Speech Listening Trigger;;;;136;No
RSCharlieIntEnterTrigger;0008F11F;2;0;Ranger Station Charlie Interior Enter Trigger;VRangerStationCharlieIntEnterScript;;Architecture\Wasteland\WaterTowerPipes01.NIF;228;No
REPCONHarlandResetTrigger;0008F6FF;1;0;Harland Reset Trigger;REPCONHarlandResetSCRIPT;;;139;No
DLC01PittConveyor;000922DC;2;0;;;;dlcpitt\clutter\press\dlcpittconveyorpress.nif;700;No
DLC01PittConveyor02;000922DE;2;0;;;;dlcpitt\clutter\press\dlcpittconveyorpress02.nif;700;No
Switchboard02;000926CA;87;0;;;;Clutter\Office\Switchboard01.NIF;201;No
VWallConsole01;00098623;42;0;;;;Dungeons\Vault\Accessories\VWallConsole01.NIF;189;No
VHeliosTrapLaserTripwire;00099D12;1;2;Laser Tripwire;VHeliosStasisTriggerSCRIPT;;Traps\LaserTripwire01-512.NIF;256;No
DrinkToiletMetal03Purified;0009D785;46;0;Toilet;;d1PurifiedWater0r30h;Clutter\Bathroom\ToiletMetal01.NIF;61;No
DrinkSinkMetal03Purified;0009D786;82;0;Sink;;d1PurifiedWater0r30h;Clutter\Bathroom\SinkMetal01.NIF;56;No
DrinkSinkClean02Good;000A24F0;52;0;Sink;;d2GoodWater4r30h;Clutter\Bathroom\SinkClean01.NIF;52;No
DrinkToiletClean02Good;000A24F2;48;0;Toilet;;d2GoodWater4r30h;Clutter\Bathroom\ToiletClean01.NIF;60;No
HVMainLevelEntryTrigger;000A4193;1;0;Gas Valve;HVMainLevelEntryTriggerScript;;;345;No
HVPasswordPaladinFinalGuardTrigger;000A4194;1;0;Gas Valve;HVPasswordPaladinFinalGuardTriggerScript;;;226;No
HVRamosTargetDialogTrigger;000A4195;1;0;Gas Valve;HVRamosTargetDialogScript;;;142;No
HVBunkerInnerRoomTrigger;000A4196;1;0;Gas Valve;HVBunkerInnerRoomTriggerScript;;;361;No
GenericConsolPanelOnOff02;000A6AC9;3;0;Console;;;Clutter\Consoles\GenericConsolPanelOnOff02.NIF;116;No
JukeBoxCleanVault101;000A6FFA;1;0;Jukebox;;;Clutter\JukeBox\JukeBoxClean01.NIF;0;No
ComputerRack01Quiet;000A787A;12;0;;;;Clutter\Consoles\ComputerRack01.NIF;96;No
ExplosionOffsetZ64Act;000A7976;0;1;;DamageSelf1script;;Effects\ExplosionOffset_Z64.NIF;28;No
FXArtilleryStrike01;000A84EF;0;12;;FXArtilleryStrikeScript;;Effects\FXArtilleryStrike01.NIF;58;No
ElectricalSwitch02;000A99B3;11;0;Electrical Switch;;;Clutter\ElectricalSwitch02.NIF;25;No
ForceFieldLeftGlow02;000AAE4A;5;0;;OnLoadPlayForwardSCRIPT;;Effects\ForceFieldFX\ForceFieldLeftGlow02.NIF;1001;No
ForceFieldRightGlow02;000AAE4D;41;0;;OnLoadPlayForwardSCRIPT;;Effects\ForceFieldFX\ForceFieldRightGlow02.NIF;1003;No
ForceFieldRightImpact02;000AAE4E;5;0;;ForceFieldImpactReactionScript;;Effects\ForceFieldFX\ForceFieldRightImpact02.NIF;616;No
VMonitorBank;000AB2DD;4;0;;;;Dungeons\Vault\Accessories\VMonitorBank.NIF;69;No
GenericDismembermentHead;000AB3EC;32;0;;GenericBipedHeadDismembermentSCRIPT;;;76;No
GenericDismembermentLeftArm;000AB3FA;8;0;;GenericBipedLeftArmDismembermentSCRIPT;;;119;No
GenericDismembermentRightArm;000AB3FD;2;0;;GenericBipedRightArmDismembermentSCRIPT;;;119;No
GenericDismembermentRightLeg;000AB3FE;9;0;;GenericBipedRightLegDismembermentSCRIPT;;;119;No
GenericDismembermentRightLegRightArm;000AB3FF;8;0;;GenericBipedRightLegRightArmDismembermentSCRIPT;;;76;No
GenericDismembermentLeftLegLeftArm;000AB400;13;0;;GenericBipedLeftLegLeftArmDismembermentSCRIPT;;;76;No
GenericDismembermentHeadLegs;000AB401;14;0;;GenericBipedHeadLegsDismembermentSCRIPT;;;75;No
GenericDismembermentHeadArmsLegs;000AB402;24;0;;GenericBipedHeadArmsLegsDismembermentSCRIPT;;;76;No
GenericDismembermentHeadArms;000AB403;13;0;;GenericBipedHeadArmsDismembermentSCRIPT;;;76;No
GenericDismembermentLeftLeg;000AB404;7;0;;GenericBipedLeftLegDismembermentSCRIPT;;;100;No
DrinkWaterfountain03Purified;000ABF66;27;0;Water Fountain;;d1PurifiedWater0r30h;Clutter\Office\WaterCooler01.NIF;53;No
MQ11vertibirdPartyBus;000AC3AE;6;1;;MQ11PartyBusSCRIPT;;Vehicles\VertibirdGround01.NIF;826;No
HVRangerRadio;000ACD55;1;0;Ham Radio;HVRangerRadioScript;;clutter\hamradio\hamradio.nif;40;No
HVMcNamaraHardinConvoTrigger;000ACD56;1;0;Gas Valve;HVMcNamaraHardinConvoScript;;;131;No
HVRangerDialogTrigger;000ACD58;1;0;Gas Valve;;;;260;No
RavenRockTrapLaserTripwireEmitter01;000AEB47;10;2;Laser Tripwire Emitter;RavenRockTrapLaserEmitterSCRIPT;;Traps\LaserTripwireEmitter01.NIF;11;No
HVRangerGoBoomTrigger;000AF676;1;0;Gas Valve;HVRangerGoBoomScript;;;97;No
HVRangerHeadingOutTrigger;000AF677;1;0;Gas Valve;HVRangerHeadingOutScript;;;143;No
vaultProtectronPod;000B1100;5;0;;ProtectronPod01Script;;Clutter\ProtectronPod\ProtectronPod01.NIF;134;No
DrinkSinkMetal00Rads;000B39A3;36;0;Sink;;d5TerribleWater20r4h;Clutter\Bathroom\SinkMetalR01.NIF;56;No
HeadshotActivator;000B9D35;3;0;Headshot Activator;HeadshotSCRIPT;;;14;No
LeftLegDismemberActivator;000B9DA5;1;0;Left Leg Dismember Activator;LeftLegDismemberSCRIPT;;;22;No
SprungTrapBearTrap;000B9DA8;2;2;Bear Trap;SprungBearTrapScript;;Traps\BearTrap01.NIF;59;No
DavisonDialogTrigger;000BAF38;1;0;Gas Valve;REPCONDavisonDialogScript;;;396;No
GenericVertibirdFlyoverTrigger;000C0A5A;15;0;;GenericVertibirdFlyoverSCRIPT;;;320;No
GenericDismembermentRandomMulti;000C0B0A;20;0;;GenericBipedRandomMultiDismembermentSCRIPT;;;122;No
VertibirdEncount02;000C24FE;2;1;;;;Vehicles\VertibirdEncount02.NIF;14327;No
GenericDismembermentRandomMultiOnActivate;000C3291;30;0;;GenericBipedRandomMultiDismembermentOnActivateSCRIPT;;;122;No
GenericActivateOnLoad;000C329B;1;0;;GenericActivateOnLoadScript;;;188;No
GenericVertibirdLandingTrigger;000C9000;15;0;;GenericVertibirdLandingSCRIPT;;;1340;No
GenericVertibirdLandingCONTROLTrigger;000C9396;9;0;;GenericVertibirdLandingControlSCRIPT;;;196;No
DrinkTowerPipe03Purified;000CAE69;16;0;Water Tower Valve;;d1PurifiedWater0r30h;Architecture\Wasteland\WaterTowerPipes01.NIF;199;No
VNovacIntroDialogueTrigger;000CAE88;6;0;Jeannie May Intro Trigger;VNovacIntroDialogueTriggerSCRIPT;;;295;No
VNovacSniperNestTrigger;000CB08A;1;0;Sniper Nest Trigger;SniperNestTriggerSCRIPT;;;184;No
GhoulPrisonerDecloakTrigger;000CCEC3;1;0;Gas Valve;GhoulPrisonerDecloakScript;;;206;No
HarlandAggroTrigger;000CCEC4;1;0;Gas Valve;HarlandAggroTriggerScript;;;1642;No
REPCONEntrance1;000CD04F;1;0;Gas Valve;REPCONEnterScript;;;168;No
REPCONEntrance2Trigger;000CD050;1;0;Gas Valve;REPCONEnterScript;;;147;No
SniperVictimTrigger;000CD08B;1;0;Sniper Killzone;SniperRevengeKillzoneTriggerSCRIPT;;;1303;No
RepconMusicSpeaker;000CD125;27;0;Loudspeaker;REPCONMusicSpeakerScript;;dungeons\vaultruined\accessories\vloudspeakersr01.nif;35;No
VintageRadioRepconSTARTON;000CD21B;19;0;Radio;;;Clutter\VintageRadio\VintageRadio01.NIF;30;No
VHarlandFriendDiscoveryTrigger;000CD3DC;1;0;Gas Valve;VREPCONHarlandFriendDiscoveryScript;;;115;No
REPCONTopIntercomTrigger;000CD682;1;0;Gas Valve;REPCONGhoulRocketWalkScript;;;173;No
DiscoverREPCONTrigger;000CD818;1;0;Gas Valve;DiscoverREPCONTriggerScript;;;9556;No
HVPatrolOutsideTrigger;000CDEE7;1;0;Gas Valve;HVPatrolOutsideScript;;;253;No
REPCONRocketPadReachedTrigger;000CE1B2;1;0;Gas Valve;REPCONRocketPadReachedScript;;;171;No
REPCONJasonBrightBasementDialogTrigger;000CE1BA;1;0;Gas Valve;;;;182;No
REPCONSpeechListeningTriggerDUPLICATE000;000CE1C8;1;0;Gas Valve;;;;175;No
REPCONJasonBrightSpeechTrigger;000CE1CA;0;0;Gas Valve;JasonBrightSpeechTriggerSCRIPT;;;158;No
HVBathroomStallTrigger;000CE22A;4;0;Gas Valve;HVBathroomStallScript;;;73;No
REPCONBasementShortcutTrigger;000CE557;1;0;Gas Valve;REPCONBasementShortcutScript;;;294;No
REPCONChrisHavFinalIntercomTrigger;000CE86B;1;0;Gas Valve;REPCONChrisHavFinalIntercomScript;;;77;No
REPCONSabotageConsole;000CE86C;1;0;Navigation Console;REPCONSabotageTerminalScript;;clutter\consoles\consoler02.nif;108;No
GenericDestroyOnLoad;000D7B49;9;0;;GenericDestroyOnLoadSCRIPT;;;68;No
GenericRandomDismember;000D7B4A;0;0;;GenericRandomDismemberSCRIPT;;;38;No
NCRCFWaterValve;000D7C2E;1;0;Water Valve;;d3AverageWater6r24h;Architecture\Wasteland\WaterTowerPipes01.NIF;199;No
NCRCFExplosionTrigger;000D7F5D;1;0;Explosion Marker;NCRCFExplosionScript;;;309;No
ControlPanelHeliosTower;000E07CF;1;0;Reflector Control Panel;VHeliosArchimedesSCRIPT;;Dungeons\Vault\Accessories\ControlPanelVault01.NIF;68;No
HVOuterRoomTrigger;000E27E1;1;0;Gas Valve;HVOuterRoomScript;;;236;No
PrimmMuseumPlaque;000E288B;1;0;Vance's Personal Machine Gun;PrimmMuseumPlaqueScript;;Architecture\Urban\MuseumRotunda\MuseumPlaque01.NIF;50;No
RepconDome;000E2890;1;0;;;;architecture\Repcon\RepBay.NIF;18660;No
VHeliosAuxGenerator;000E28B5;2;0;Auxiliary Generator;VHeliosAuxGeneratorSCRIPT;;Clutter\FusionGenerator\FusionGenerator01.NIF;53;No
HVPaladinLockersTrigger;000E294C;1;0;Gas Valve;HVPaladinLockersScript;;;279;No
HVTargetPractice3Trigger;000E2F7C;1;0;Gas Valve;HVTargetPractice3Script;;;161;No
HVTargetPractice4Trigger;000E2F7D;1;0;Gas Valve;HVTargetPractice4Script;;;161;No
HVTargetPractice2Trigger;000E2F7E;1;0;Gas Valve;HVTargetPractice2Script;;;166;No
HVTargetPractice1Trigger;000E2F80;1;0;Gas Valve;HVTargetPractice1Script;;;159;No
PrimmMuseumPlaqueClothing;000E32FD;1;0;Vance's Outfits;VanceOutfitNoteScript;;Architecture\Urban\MuseumRotunda\MuseumPlaque01.NIF;50;No
PrimmMuseumPlaque02;000E32FE;1;0;Vikki's Outfits;VikkiOutfitNoteScript;;Architecture\Urban\MuseumRotunda\MuseumPlaque01.NIF;50;No
VMS03HaggertyWarning;000E3617;1;0;Gas Valve;VHeliosHaggertyWarning1SCRIPT;;;561;No
VMS03HaggertyWarning2;000E3618;1;0;Gas Valve;VHeliosHaggertyWarning2SCRIPT;;;339;No
HVSandStormNight;000E378F;10;0;;HVSandStormNightScript;;effects\NV\NVSandStormNight.NIF;5220;No
HVSandStormParentTrigger;000E3790;1;0;Gas Valve;;;;340;No
BisonSteveElevatorButton;000E3E91;3;0;Elevator Button;BisonSteveElevatorScript;;architecture\urban\hotelroof\hotelelevatorbutton01.nif;23;No
windowEm;000E48E8;18;0;;Lucky38LightScript;;architecture\Primm\windowEm01.NIF;70;No
PythonEnableLinkTrigger;000E4B4B;1;0;Gas Valve;VMS03HeliosPythonEnableLink1xSCRIPT;;;108;No
HVRangerJournal;000E509E;1;0;Ranger Journal;HVRangerJournalScript;;clutter\books\bookgeneric07.nif;14;No
NVposter03EM;000E58CC;1;0;;windowEmScript;;clutter\SignNV\NVposter03.NIF;60;No
NVposter01EM;000E58CE;2;0;;windowEmScript;;clutter\SignNV\NVposter01.NIF;60;No
HVFireTrigger;000E675A;1;0;Gas Valve;HVFireScript;;;45;No
TriggerOpenOnTrigger;000E71D2;1;0;OpenLinkedObject;GenericOpenLinkedOnTriggerScript;;;300;No
VVault11FadeWhiteTrigger;000E71D3;1;0;Fade Trigger;VVault11FadeWhiteTriggerSCRIPT;;;314;No
REPHQExitTrigger;000E77DC;1;0;;REPHQExitTriggerScript;;Architecture\Wasteland\WaterTowerPipes01.NIF;160;No
REPHQEnterTrigger;000E77DD;1;0;;REPHQEnterTriggerScript;;Architecture\Wasteland\WaterTowerPipes01.NIF;160;No
QJJasWilkinsTrigger;000E78C2;1;0;Jas Wilkins Trigger;;;;198;No
BMRadioControlPanel;000E7953;4;0;Radio Transmitter Control Panel;BMRadioControlPanelScript;;Dungeons\Vault\Accessories\ControlPanelVault01.NIF;68;No
BMNeilConvinceTrigger;000E7B39;1;0;Gas Valve;BMNeilConvinceScript;;;166;No
BMDoubleBoulderPushTrigger;000E8109;1;0;Gas Valve;BMRockslide4Script;;;529;No
BMBoulder1PushTrigger;000E810A;1;0;Gas Valve;BMBoulder1PushScript;;;814;No
KlaxonLightRepcon;000E82F0;17;0;;KlaxonLightScriptRepcon;;Dungeons\Vault\RoomU\Klaxon.NIF;77;No
BMAmbushTrigger;000E8494;4;0;Gas Valve;;;;347;No
BMAmbushTargetTrigger;000E8495;3;0;Gas Valve;;;;1393;No
BMBonfireTrigger;000E8496;2;0;Gas Valve;BMBonfireScript;;;39;No
BMNeilTalkTrigger;000E8498;1;0;Gas Valve;BMNeilTalkTriggerScript;;;2054;No
BMNightkinAmbushTrigger;000E85C1;5;0;Gas Valve;BMNightkinAmbushTriggerScript;;;381;No
REPHQTourSign02;000E85EA;1;1;"Boring Old Rod? Or...";RepHQTourSignScript;;Architecture\Urban\MuseumRotunda\MuseumPlaque01.NIF;50;No
REPHQTourSign03;000E85EB;1;1;"Radioactive Waste?";RepHQTourSignScript;;Architecture\Urban\MuseumRotunda\MuseumPlaque01.NIF;50;No
REPHQTourSign01;000E85EC;1;1;"Plas-Ma What?";RepHQTourSignScript;;Architecture\Urban\MuseumRotunda\MuseumPlaque01.NIF;50;No
VVault11ExterminationSlides;000E88AE;1;0;;VVault11SlidesSCRIPT;;dungeons\vault\room\v11projectorslides.nif;4491;No
VVault11SpeechNoteTrigger;000E88AF;1;0;;VVault11SpeechNoteTriggerSCRIPT;;;141;No
VVault11ExterminationChairTrigger;000E88B0;1;0;Gas Valve;VVault11ExterminationChairSCRIPT;;;128;No
VVault11ExterminationChamberPleaseSitDownTrigger;000E88B1;1;0;;VVault11ExterminationChamberPleaseSitDownSCRIPT;;;176;No
VVault11ExterminationChamberTalkTrigger02;000E88B2;1;0;Gas Valve;VVault11ExterminationChamberTalker02SCRIPT;;;186;No
VVault11ExterminationChamberTalkTrigger01;000E88B3;1;0;;VVault11ExterminationChamberTalker01SCRIPT;;;200;No
VVexNCRactivator;000E8D19;1;0;Gas Valve;VickyVanceExNCRspawn;;;214;No
BMDishHutGuardAmbushTrigger;000E9486;1;0;Gas Valve;;;;1161;No
BMDishExplosionTrigger;000E9488;1;0;Gas Valve;BMDishExplosionTriggerScript;;;435;No
MaizePickable;000E9ACF;240;0;Maize;MaizeScript;;landscape\plants\Maize_Healthy01.NIF;56;No
